Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"24,478","26,476","25,988","24,775","24,163","22,749","23,676","22,830","22,903","25,657","30,849","33,797","34,595"
Interest,"17,963","19,200","18,889","18,166","17,603","15,935","16,005","14,543","13,361","13,905","17,882","19,830","20,919"
Expenses+,"9,489","8,620","11,529","12,744","14,015","14,580","12,135","12,419","10,477","12,778","13,099","14,314","14,164"
Financing Profit,"-2,974","-1,344","-4,430","-6,136","-7,455","-7,766","-4,464","-4,133",-934,"-1,026",-133,-346,-489
Financing Margin %,-12%,-5%,-17%,-25%,-31%,-34%,-19%,-18%,-4%,-4%,-0%,-1%,-1%
Other Income+,"1,931","1,900","2,019","2,871","2,620","2,416","3,622","2,994","2,986","4,164","4,814","5,996","6,434"
Depreciation,209,230,240,258,260,278,285,293,297,386,500,558,0
Profit before tax,"-1,252",327,"-2,651","-3,523","-5,096","-5,628","-1,127","-1,431","1,755","2,752","4,181","5,092","5,945"
Tax %,-0%,-89%,-47%,-31%,-0%,-0%,-0%,-30%,38%,39%,36%,23%,
Net Profit+,"-1,209",670,"-1,392","-2,457","-5,134","-5,611","-1,252",-995,"1,083","1,688","2,677","3,943","4,591"
EPS in Rs,-8.99,4.02,-8.26,-12.93,-19.63,-13.88,-2.20,-1.70,1.24,1.93,3.07,4.35,5.11
Dividend Payout %,-0%,12%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,4%,
