Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,514,564,537,525,493,643,550,678,933,"1,006",934,901,991
Expenses+,473,517,497,509,450,576,507,583,793,883,821,801,885
Operating Profit,41,47,41,16,44,67,42,96,140,123,113,99,105
OPM %,8%,8%,8%,3%,9%,10%,8%,14%,15%,12%,12%,11%,11%
Other Income+,15,21,40,12,12,-2,13,2,1,3,3,-3,6
Interest,35,35,50,31,18,17,18,13,12,18,21,18,17
Depreciation,16,19,17,16,14,19,15,15,17,19,22,25,26
Profit before tax,4,14,14,-19,24,29,22,69,112,89,73,54,68
Tax %,0%,4%,4%,4%,29%,42%,51%,29%,25%,31%,27%,27%,
Net Profit+,1,14,13,-20,17,17,11,49,83,61,54,39,52
EPS in Rs,0.78,11.58,10.83,-16.25,14.01,13.70,8.77,40.03,68.06,49.83,43.70,31.75,42.64
Dividend Payout %,0%,0%,0%,0%,11%,11%,17%,5%,4%,6%,7%,9%,
