Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,100,129,151,157,196,289,338,252,383,553,616,721,777
Expenses+,103,115,135,139,176,259,253,192,273,388,453,516,554
Operating Profit,-3,14,16,18,20,30,85,59,110,165,163,205,222
OPM %,-3%,11%,11%,12%,10%,10%,25%,24%,29%,30%,26%,28%,29%
Other Income+,0,-0,0,0,3,4,4,17,15,4,6,8,9
Interest,5,5,5,6,7,9,21,25,23,26,30,35,40
Depreciation,2,6,6,8,9,9,44,39,43,54,62,80,88
Profit before tax,-9,3,5,5,8,16,24,12,60,89,77,98,103
Tax %,0%,-12%,2%,13%,-162%,23%,32%,21%,36%,25%,19%,24%,
Net Profit+,-9,3,5,4,20,12,16,10,38,67,62,75,78
EPS in Rs,-1.12,0.35,0.62,0.50,2.45,1.53,2.01,1.18,4.66,8.24,7.44,8.95,9.36
Dividend Payout %,0%,0%,0%,0%,0%,0%,10%,17%,11%,11%,12%,11%,
