Metric,Mar 201415m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,276","2,289","2,614","2,903","3,298","3,679","4,093","4,310","4,913","5,349","5,849","6,409","6,714"
Expenses+,"2,009","1,977","2,250","2,505","2,774","3,074","3,336","3,388","3,832","4,143","4,396","4,714","4,902"
Operating Profit,267,312,365,398,525,605,757,922,"1,082","1,206","1,453","1,695","1,812"
OPM %,12%,14%,14%,14%,16%,16%,18%,21%,22%,23%,25%,26%,27%
Other Income+,49,48,50,57,117,113,114,81,83,154,248,275,291
Interest,0,0,3,2,4,2,9,18,19,16,12,11,20
Depreciation,22,15,14,16,16,17,60,58,66,70,71,72,74
Profit before tax,295,344,398,436,621,699,803,926,"1,080","1,274","1,618","1,887","2,009"
Tax %,33%,34%,36%,37%,35%,36%,26%,25%,26%,25%,26%,25%,
Net Profit+,198,229,255,277,401,450,593,691,799,949,"1,201","1,414","1,509"
EPS in Rs,93.39,107.75,120.12,130.19,188.82,211.93,279.04,325.04,375.87,446.80,565.30,665.64,710.12
Dividend Payout %,25%,29%,29%,31%,29%,31%,90%,85%,73%,73%,73%,71%,
