Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,177,256,376,216,307,342,289,314,524,515,449,347,657
Expenses+,157,221,326,176,267,293,254,270,442,436,395,299,568
Operating Profit,20,35,50,40,41,49,34,44,81,79,54,48,89
OPM %,11%,14%,13%,19%,13%,14%,12%,14%,16%,15%,12%,14%,14%
Other Income+,6,2,2,1,5,7,8,7,4,3,5,8,4
Interest,7,8,8,7,10,13,13,10,11,11,20,12,14
Depreciation,8,8,9,9,9,9,10,9,10,9,10,10,11
Profit before tax,11,20,35,25,27,34,20,32,65,62,29,34,68
Tax %,33%,25%,22%,28%,30%,20%,26%,24%,26%,25%,29%,23%,28%
Net Profit+,7,15,28,18,19,27,15,24,48,47,21,26,49
EPS in Rs,0.92,1.75,3.29,2.20,2.20,3.29,1.67,2.92,5.79,5.64,2.56,3.17,6.04
Raw PDF,,,,,,,,,,,,,
