Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,512,567,664,918,"1,123","1,330","1,651","2,198","2,498","3,035","3,402"
Expenses+,403,450,593,833,872,953,"1,126","1,587","1,850","2,242","2,620"
Operating Profit,109,118,71,85,251,377,524,611,648,793,782
OPM %,21%,21%,11%,9%,22%,28%,32%,28%,26%,26%,23%
Other Income+,5,3,37,6,5,9,27,41,13,43,44
Interest,37,32,88,49,44,37,22,37,55,100,130
Depreciation,36,35,40,56,71,70,73,129,147,177,217
Profit before tax,41,53,-20,-15,141,279,457,485,460,558,479
Tax %,32%,37%,126%,223%,18%,26%,25%,25%,27%,26%,
Net Profit+,28,33,-46,-49,115,205,344,366,336,415,356
EPS in Rs,0.76,0.91,-1.32,-1.28,3.20,5.19,8.32,8.41,7.75,9.61,8.39
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
