Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,119,129,151,155,197,188,160,164,197,149,151,230,201
Expenses+,114,124,147,150,189,178,151,160,195,145,147,225,198
Operating Profit,5,4,5,5,8,9,8,4,3,3,4,5,3
OPM %,4%,3%,3%,3%,4%,5%,5%,2%,1%,2%,3%,2%,2%
Other Income+,-0,0,0,0,0,0,0,0,0,1,0,0,0
Interest,3,3,3,3,2,3,3,3,2,2,3,2,2
Depreciation,1,1,0,0,0,1,1,1,1,1,1,2,2
Profit before tax,1,1,2,2,5,5,4,1,0,1,1,1,-0
Tax %,35%,32%,32%,34%,33%,28%,25%,25%,24%,23%,27%,25%,
Net Profit+,1,1,1,1,3,4,3,1,0,0,1,1,-0
EPS in Rs,0.68,0.81,0.87,0.43,1.33,1.52,1.30,0.29,0.14,0.16,0.30,0.24,-0.19
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
