Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,628,509,609,749,725,571,724,804,895,639,875,970,"1,038"
Expenses+,569,369,511,653,602,482,610,671,689,581,660,788,889
Operating Profit,59,140,98,97,122,89,114,133,206,58,214,182,149
OPM %,9%,28%,16%,13%,17%,16%,16%,17%,23%,9%,24%,19%,14%
Other Income+,10,1,3,16,3,12,6,2,17,5,19,14,59
Interest,1,3,7,5,6,4,7,7,6,5,8,7,8
Depreciation,12,13,20,15,16,17,28,19,19,20,36,24,25
Profit before tax,56,126,74,93,104,81,86,109,197,39,190,164,175
Tax %,8%,22%,31%,26%,36%,15%,20%,37%,30%,21%,19%,33%,20%
Net Profit+,52,98,51,69,66,68,68,69,139,31,154,110,139
EPS in Rs,3.62,6.87,3.57,4.81,4.62,4.78,4.77,4.80,9.70,2.16,10.73,7.66,9.71
Raw PDF,,,,,,,,,,,,,
