Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"6,475","6,232","6,222","7,220","8,299","9,014","8,997"
Interest,"4,444","4,049","3,731","4,035","5,000","5,703","5,834"
Expenses+,"2,706","2,993","2,677","2,651","2,983","2,854","3,039"
Financing Profit,-676,-810,-186,534,316,457,124
Financing Margin %,-10%,-13%,-3%,7%,4%,5%,1%
Other Income+,"1,262","1,495",954,993,"1,319","1,270","1,356"
Depreciation,64,74,74,86,72,85,0
Profit before tax,522,612,694,"1,440","1,563","1,641","1,479"
Tax %,17%,21%,27%,18%,16%,22%,
Net Profit+,432,482,508,"1,180","1,307","1,273","1,165"
EPS in Rs,13.89,15.52,16.33,37.77,34.64,33.68,30.82
Dividend Payout %,0%,12%,24%,13%,16%,15%,
