Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,455,484,511,545,568,627,587,555,699,751,781,758,776
Expenses+,408,433,452,481,513,567,519,487,637,701,726,706,726
Operating Profit,47,51,59,64,55,60,67,69,62,50,55,52,50
OPM %,10%,10%,12%,12%,10%,10%,12%,12%,9%,7%,7%,7%,6%
Other Income+,3,2,2,1,2,1,3,4,6,5,8,9,10
Interest,6,4,4,8,8,8,1,3,3,2,1,1,1
Depreciation,4,6,6,11,12,12,17,16,16,16,15,15,15
Profit before tax,41,43,52,46,38,42,52,53,49,36,46,45,44
Tax %,33%,30%,27%,30%,28%,25%,28%,30%,25%,26%,25%,26%,
Net Profit+,27,30,38,33,27,31,37,37,37,27,35,33,33
EPS in Rs,10.48,11.56,14.49,12.58,10.51,11.99,14.31,14.37,14.12,10.33,13.29,12.87,12.55
Dividend Payout %,24%,24%,24%,10%,24%,23%,26%,28%,28%,39%,32%,19%,
