Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,"11,728","11,921","10,205","9,258","11,303","14,049","12,361","10,465","14,527","21,011","18,141","15,374","16,321"
Expenses+,"10,411","10,716","8,854","7,727","9,030","12,083","10,880","8,787","12,166","17,474","17,208","14,100","14,338"
Operating Profit,"1,317","1,205","1,351","1,531","2,273","1,966","1,481","1,677","2,360","3,537",933,"1,274","1,982"
OPM %,11%,10%,13%,17%,20%,14%,12%,16%,16%,17%,5%,8%,12%
Other Income+,57,-180,72,99,-68,42,156,456,193,105,180,248,127
Interest,593,620,596,631,595,457,452,491,479,524,819,941,917
Depreciation,357,347,328,519,526,555,594,792,798,790,776,807,905
Profit before tax,423,58,498,480,"1,084",996,591,851,"1,276","2,327",-482,-226,287
Tax %,9%,-21%,39%,37%,27%,37%,22%,31%,46%,32%,65%,99%,
Net Profit+,386,70,302,301,792,631,462,588,694,"1,577",-796,-450,-35
EPS in Rs,11.43,2.63,9.61,8.65,22.70,17.29,11.64,16.60,17.25,42.77,-27.89,-16.78,-3.94
Dividend Payout %,9%,38%,10%,12%,9%,6%,9%,6%,6%,2%,-4%,-6%,
