Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,360,541,159,263,190,48,96,88,234,52,133,68,67
Expenses+,249,425,147,124,134,68,57,48,522,32,80,35,34
Operating Profit,111,116,13,139,56,-20,39,41,-288,20,53,33,34
OPM %,31%,21%,8%,53%,30%,-41%,41%,46%,-123%,38%,40%,48%,50%
Other Income+,2,2,1,6,-25,39,-730,1,-14,8,480,31,14
Interest,62,50,54,42,72,75,67,65,64,6,4,4,6
Depreciation,4,11,6,51,33,36,37,41,25,31,36,43,43
Profit before tax,46,56,-47,52,-75,-93,-794,-65,-391,-9,493,18,-2
Tax %,-18%,13%,-16%,42%,-17%,-1%,0%,8%,3%,252%,5%,-139%,
Net Profit+,54,48,-40,30,-63,-92,-798,-70,-402,-32,468,43,28
EPS in Rs,6.62,5.93,-4.85,3.67,-7.70,-11.29,-97.96,-8.61,-49.38,-3.98,57.41,5.22,3.38
Dividend Payout %,4%,5%,0%,8%,-4%,0%,0%,0%,0%,0%,0%,0%,
