Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,479","2,724","4,386","5,599","6,595","7,618","8,222"
Expenses+,"2,272","2,492","4,082","5,276","6,133","7,131","7,600"
Operating Profit,207,232,304,323,462,487,623
OPM %,8%,9%,7%,6%,7%,6%,8%
Other Income+,27,23,50,35,64,53,58
Interest,37,29,24,43,54,60,63
Depreciation,39,45,46,60,65,70,79
Profit before tax,158,181,284,256,406,409,539
Tax %,22%,25%,25%,26%,27%,24%,
Net Profit+,122,135,214,190,298,312,404
EPS in Rs,52.32,56.60,89.42,19.84,26.43,27.56,35.70
Dividend Payout %,25%,0%,11%,23%,23%,22%,
