Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,458","1,901","2,539","4,488","6,061","7,586","7,916"
Expenses+,"2,355","1,846","2,428","4,366","5,790","7,249","7,482"
Operating Profit,103,55,111,123,271,337,434
OPM %,4%,3%,4%,3%,4%,4%,5%
Other Income+,17,15,31,52,7,34,71
Interest,43,37,35,35,46,43,57
Depreciation,27,27,22,22,23,35,47
Profit before tax,50,6,85,118,209,293,401
Tax %,46%,218%,18%,21%,26%,26%,
Net Profit+,27,-7,70,94,155,218,297
EPS in Rs,4.88,-1.32,10.43,13.46,13.15,16.08,21.86
Dividend Payout %,0%,0%,0%,0%,0%,0%,
