Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,841","3,737","3,666","4,625","4,559","5,249","4,728","4,531","6,998","6,332","6,809","6,987","7,025"
Expenses+,"3,109","3,075","2,936","3,740","3,708","4,266","3,882","3,705","5,478","5,386","5,869","6,076","6,061"
Operating Profit,732,661,730,885,852,983,846,826,"1,520",947,940,911,965
OPM %,19%,18%,20%,19%,19%,19%,18%,18%,22%,15%,14%,13%,14%
Other Income+,12,34,33,107,63,44,20,-18,16,25,58,60,72
Interest,210,206,145,141,118,112,111,72,86,80,156,130,93
Depreciation,268,321,337,412,404,364,334,337,333,313,365,366,358
Profit before tax,265,168,281,439,392,550,421,398,"1,116",579,477,475,585
Tax %,26%,30%,14%,23%,32%,32%,19%,24%,25%,24%,27%,22%,
Net Profit+,194,118,242,337,266,372,340,304,834,442,350,371,444
EPS in Rs,0.62,0.23,0.48,0.66,0.52,0.73,0.67,0.60,1.64,0.86,0.69,0.73,0.87
Dividend Payout %,5%,26%,19%,22%,28%,40%,53%,60%,22%,42%,52%,50%,
