Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,62,99,213,256,111,92,110,130
Expenses+,53,90,152,200,126,102,117,130
Operating Profit,9,10,62,56,-15,-10,-8,-0
OPM %,15%,10%,29%,22%,-13%,-11%,-7%,-0%
Other Income+,0,0,3,8,7,11,12,8
Interest,0,1,2,1,0,0,1,2
Depreciation,0,0,0,1,2,2,2,2
Profit before tax,9,9,62,61,-11,-3,1,5
Tax %,30%,26%,26%,26%,-23%,-30%,37%,
Net Profit+,6,6,46,45,-8,-2,1,4
EPS in Rs,"6,230.00","6,400.00",46.37,44.96,-8.25,-1.79,0.85,4.11
Dividend Payout %,0%,0%,4%,7%,0%,0%,0%,
