Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,612,699,"1,038","1,566","2,131","2,676","3,185","3,546","3,725"
Expenses+,450,499,795,"1,125","1,571","1,980","2,282","2,579","2,770"
Operating Profit,162,200,243,441,560,696,902,967,955
OPM %,26%,29%,23%,28%,26%,26%,28%,27%,26%
Other Income+,3,76,237,-12,32,8,15,116,147
Interest,19,18,26,33,18,17,26,30,21
Depreciation,23,31,67,97,142,178,220,254,270
Profit before tax,122,228,387,300,432,509,671,798,810
Tax %,37%,24%,7%,28%,16%,22%,23%,25%,
Net Profit+,78,173,360,215,362,395,518,600,607
EPS in Rs,27.93,62.40,76.42,3.76,6.19,6.75,8.82,9.67,9.86
Dividend Payout %,0%,0%,55%,504%,25%,42%,35%,33%,
