Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,29,29,45,31,54,49,47,66,101,180,141,151
Expenses+,18,21,36,17,44,34,59,60,78,152,117,124
Operating Profit,11,8,8,14,10,15,-12,6,24,29,24,27
OPM %,37%,28%,19%,44%,19%,30%,-26%,9%,23%,16%,17%,18%
Other Income+,0,1,3,3,3,1,3,1,1,2,3,1
Interest,9,7,7,6,7,7,7,8,15,17,11,9
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,1,1,4,10,5,9,-17,-2,9,13,16,18
Tax %,18%,19%,21%,23%,50%,26%,27%,69%,24%,19%,28%,
Net Profit+,1,1,3,8,6,6,-24,-5,7,10,11,13
EPS in Rs,0.55,0.48,2.02,3.57,2.19,0.92,-7.34,-0.30,2.50,2.94,2.53,2.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
