Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,0,287,541,571,542,554,557,601,580,614,631
Expenses+,3,98,183,185,166,180,179,189,182,192,203
Operating Profit,-3,190,357,387,375,374,378,412,398,421,428
OPM %,,66%,66%,68%,69%,67%,68%,69%,69%,69%,68%
Other Income+,0,6,18,19,20,28,21,32,35,26,21
Interest,0,53,95,97,93,91,93,104,106,112,116
Depreciation,0,78,147,148,148,145,147,148,146,155,162
Profit before tax,-3,65,134,161,156,165,159,193,181,180,172
Tax %,0%,-45%,-88%,34%,6%,15%,31%,38%,37%,34%,23%
Net Profit+,-3,94,251,107,146,140,110,119,114,120,132
EPS in Rs,,0.62,1.66,0.71,0.97,0.92,0.73,0.78,0.75,0.79,0.87
Raw PDF,,,,,,,,,,,
