Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,9.99,6.53,2.90,6.01,10.06,34.80,36.10,60.25,22.51,56.04,39.69
Expenses+,5.74,3.62,1.21,2.73,8.27,27.57,26.91,52.55,17.96,48.73,27.09
Operating Profit,4.25,2.91,1.69,3.28,1.79,7.23,9.19,7.70,4.55,7.31,12.60
OPM %,42.54%,44.56%,58.28%,54.58%,17.79%,20.78%,25.46%,12.78%,20.21%,13.04%,31.75%
Other Income+,2.18,1.38,1.33,3.35,3.94,0.66,0.60,0.37,0.81,5.19,4.87
Interest,0.62,0.78,1.09,1.91,2.14,2.92,3.65,1.38,0.79,4.39,4.26
Depreciation,0.30,0.26,0.32,0.58,1.14,1.19,1.19,1.83,1.86,1.92,3.17
Profit before tax,5.51,3.25,1.61,4.14,2.45,3.78,4.95,4.86,2.71,6.19,10.04
Tax %,8.53%,18.77%,23.60%,21.98%,20.82%,26.98%,24.04%,24.90%,25.83%,15.83%,25.30%
Net Profit+,5.04,2.64,1.23,3.23,1.95,2.76,3.76,3.64,2.01,5.21,7.50
EPS in Rs,23.60,12.36,0.71,1.85,1.12,1.58,2.16,2.09,1.15,2.99,4.30
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
