Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,586,706,774,853,987,"1,167","1,224","2,103","2,415","2,537","2,595"
Expenses+,537,639,720,785,899,"1,042",969,"1,857","2,245","2,385","2,434"
Operating Profit,49,67,54,68,89,125,255,246,170,152,160
OPM %,8%,9%,7%,8%,9%,11%,21%,12%,7%,6%,6%
Other Income+,4,4,5,5,7,4,7,8,14,10,10
Interest,14,17,18,27,26,24,19,17,27,47,51
Depreciation,29,42,27,36,36,38,41,56,66,82,84
Profit before tax,10,12,14,10,33,67,202,180,91,33,35
Tax %,33%,18%,-1%,44%,28%,26%,30%,32%,-6%,34%,
Net Profit+,7,10,14,6,24,50,141,122,96,22,24
EPS in Rs,2.34,3.49,5.03,2.00,8.45,17.33,48.90,42.43,33.47,8.05,8.76
Dividend Payout %,0%,0%,0%,0%,0%,6%,4%,14%,10%,34%,
