Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,408,375,382,390,434,504,337,265,32,47,47,44,42
Expenses+,391,413,396,375,424,415,328,281,29,42,40,37,36
Operating Profit,17,-38,-14,16,10,88,9,-16,3,4,7,7,6
OPM %,4%,-10%,-4%,4%,2%,18%,3%,-6%,9%,10%,14%,16%,15%
Other Income+,52,54,77,16,6,2,4,3,-68,-118,-14,-73,-72
Interest,49,46,31,24,25,29,32,37,0,0,37,36,36
Depreciation,35,12,22,23,23,23,25,27,4,4,4,4,4
Profit before tax,-13,-43,9,-15,-32,38,-45,-77,-70,-118,-48,-106,-106
Tax %,15%,0%,46%,-40%,-6%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,-16,-43,5,-9,-30,38,-45,-77,-70,-118,-48,-106,-106
EPS in Rs,-2.67,-7.31,0.41,-0.60,-2.03,2.59,-3.03,-5.22,-4.73,-8.01,-3.28,-7.21,-7.21
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
