Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,212","4,917","5,228","5,588","6,349","7,509","6,915","6,547","7,549","8,804","10,241","11,561","12,724"
Expenses+,"3,678","4,321","4,548","4,830","5,421","6,380","5,784","5,507","6,585","7,768","8,913","10,010","11,009"
Operating Profit,534,596,680,758,928,"1,129","1,131","1,040",965,"1,036","1,328","1,551","1,716"
OPM %,13%,12%,13%,14%,15%,15%,16%,16%,13%,12%,13%,13%,13%
Other Income+,30,42,33,29,-3,6,48,19,10,35,86,129,125
Interest,81,51,49,32,24,26,18,14,6,21,43,47,51
Depreciation,208,227,243,291,322,376,414,399,382,422,474,539,623
Profit before tax,276,359,420,465,579,733,747,647,586,629,897,"1,095","1,167"
Tax %,26%,29%,29%,29%,33%,32%,24%,20%,21%,24%,24%,24%,
Net Profit+,205,254,300,330,391,495,566,520,461,480,680,836,883
EPS in Rs,46.52,57.42,68.10,23.48,27.78,35.19,40.20,36.95,32.75,34.09,48.38,59.46,62.79
Dividend Payout %,3%,5%,4%,11%,14%,16%,14%,16%,19%,21%,18%,17%,
