Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,57,67,80,100,141,168,173,83,122,198,215,217,221
Expenses+,46,54,64,79,109,130,133,67,98,162,178,185,192
Operating Profit,11,13,16,21,32,38,40,16,24,36,38,32,29
OPM %,19%,19%,20%,21%,23%,22%,23%,20%,19%,18%,17%,15%,13%
Other Income+,1,2,3,1,2,8,0,0,1,1,1,1,2
Interest,1,1,0,0,0,0,0,0,0,0,1,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,10,12,17,21,33,44,39,15,23,35,36,32,30
Tax %,33%,32%,35%,35%,34%,30%,26%,26%,27%,26%,26%,29%,
Net Profit+,7,8,11,13,21,31,29,11,17,26,27,23,21
EPS in Rs,2.81,3.36,4.49,5.33,8.50,12.36,11.43,4.81,7.14,11.06,11.60,9.75,9.03
Dividend Payout %,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
