Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,845,673,125,198,380,422,791,"1,015"
Expenses+,"1,004",628,148,207,344,408,747,937
Operating Profit,-160,46,-23,-9,37,15,44,78
OPM %,-19%,7%,-18%,-4%,10%,3%,6%,8%
Other Income+,30,-31,-27,18,17,26,32,26
Interest,16,18,10,10,23,22,10,10
Depreciation,62,62,52,28,18,20,31,36
Profit before tax,-207,-66,-112,-29,12,-1,35,57
Tax %,3%,6%,6%,5%,37%,247%,-4%,
Net Profit+,-212,-70,-119,-31,8,-5,37,56
EPS in Rs,-207.75,-65.76,-107.17,-2.75,0.67,-0.29,2.33,3.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
