Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,45,87,100,87,68,70,73,102,113
Expenses+,8,15,17,19,24,22,21,24,28
Operating Profit,37,72,83,68,43,47,52,79,85
OPM %,82%,82%,83%,78%,64%,68%,71%,77%,75%
Other Income+,1,2,0,0,0,0,1,0,0
Interest,23,46,56,48,35,28,28,36,39
Depreciation,0,1,1,1,1,1,1,1,1
Profit before tax,15,26,27,19,8,19,24,43,46
Tax %,28%,32%,30%,15%,46%,23%,22%,22%,
Net Profit+,11,18,19,16,4,15,19,33,34
EPS in Rs,2.60,4.09,0.88,0.75,0.19,0.46,0.58,0.78,0.81
Dividend Payout %,0%,1%,0%,0%,0%,0%,0%,0%,
