Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,359","1,111",990,"3,633","1,930","2,222","2,422"
Expenses+,"1,257","1,040","1,038","3,713","2,058","2,165","2,426"
Operating Profit,103,71,-48,-80,-129,57,-4
OPM %,8%,6%,-5%,-2%,-7%,3%,-0%
Other Income+,238,288,248,83,110,110,138
Interest,359,381,306,130,34,53,121
Depreciation,38,33,33,32,33,38,40
Profit before tax,-57,-55,-140,-159,-86,76,-27
Tax %,-19%,-3%,-6%,45%,26%,67%,
Net Profit+,-43,-57,-131,-229,-108,25,-50
EPS in Rs,-3.10,-4.06,-9.37,-14.56,-6.80,1.29,-2.87
Dividend Payout %,0%,0%,0%,0%,0%,0%,
