Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,824","1,934","1,655","1,690","1,751","1,764","1,810","1,342","1,844","2,394","2,299","2,620","2,648"
Expenses+,"1,685","1,854","1,612","1,617","1,672","1,681","1,690","1,216","1,762","2,269","2,153","2,439","2,464"
Operating Profit,139,80,42,73,79,83,120,126,82,124,146,181,185
OPM %,8%,4%,3%,4%,5%,5%,7%,9%,4%,5%,6%,7%,7%
Other Income+,5,23,4,3,6,4,2,12,8,5,6,4,5
Interest,52,57,61,55,44,53,62,52,41,53,57,64,61
Depreciation,10,9,10,9,9,10,32,27,23,24,24,25,27
Profit before tax,83,38,-26,12,32,23,28,60,26,52,72,96,102
Tax %,34%,36%,7%,-10%,34%,33%,24%,28%,22%,23%,24%,29%,
Net Profit+,55,24,-28,13,21,16,21,43,20,40,54,68,74
EPS in Rs,8.25,3.65,-4.13,1.94,3.19,2.33,3.21,6.48,3.02,6.02,8.16,10.25,11.06
Dividend Payout %,27%,27%,0%,0%,24%,32%,31%,39%,33%,29%,21%,22%,
