Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,123,125,113,115,141,179,163,163
Expenses+,105,106,93,91,117,156,148,148
Operating Profit,17,20,20,24,24,24,14,15
OPM %,14%,16%,17%,21%,17%,13%,9%,9%
Other Income+,4,2,1,2,2,2,6,6
Interest,1,1,2,2,3,6,4,4
Depreciation,2,2,3,6,6,7,7,7
Profit before tax,18,18,16,18,17,13,10,10
Tax %,31%,26%,26%,18%,14%,27%,34%,
Net Profit+,12,13,12,15,15,9,7,7
EPS in Rs,10.28,10.88,9.93,12.20,11.73,8.60,5.59,7.36
Dividend Payout %,10%,5%,10%,8%,9%,12%,18%,
