Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,"1,873","2,336","2,130","2,559","2,711","2,744","2,798","2,694","2,636","2,644"
Expenses+,0,"1,441","2,066","1,838","2,298","2,451","2,441","2,543","2,363","2,360","2,397"
Operating Profit,-0,432,270,292,262,260,303,255,330,276,247
OPM %,,23%,12%,14%,10%,10%,11%,9%,12%,10%,9%
Other Income+,0,-2,3,3,5,6,4,9,3,4,4
Interest,0,138,114,97,116,116,88,69,82,86,82
Depreciation,0,46,44,44,45,48,51,51,55,58,59
Profit before tax,-0,247,114,154,106,101,167,144,197,136,110
Tax %,0%,18%,23%,22%,17%,23%,26%,30%,35%,35%,
Net Profit+,-0,203,88,120,89,78,124,100,128,88,71
EPS in Rs,,101.66,44.08,59.94,44.27,38.75,62.15,50.07,64.00,43.93,35.39
Dividend Payout %,0%,0%,1%,3%,9%,10%,16%,20%,16%,23%,
