Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,154,147,143,183,222,254,365,374
Expenses+,111,107,99,130,165,200,265,279
Operating Profit,43,40,44,52,58,53,100,95
OPM %,28%,27%,31%,29%,26%,21%,27%,25%
Other Income+,3,2,1,3,8,8,8,10
Interest,10,10,13,8,8,8,9,6
Depreciation,9,10,10,10,11,13,15,15
Profit before tax,27,22,23,37,47,40,84,84
Tax %,29%,10%,30%,26%,23%,26%,26%,
Net Profit+,19,20,16,27,36,30,61,62
EPS in Rs,16.64,3.46,2.63,3.47,4.62,4.11,7.87,7.94
Dividend Payout %,0%,0%,0%,0%,0%,0%,6%,
