Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,46,52,81,101,115,110,128,141,172,248,273
Expenses+,37,41,66,80,79,76,98,103,116,170,179
Operating Profit,9,11,15,21,35,34,30,38,56,78,93
OPM %,19%,20%,19%,21%,31%,31%,24%,27%,32%,32%,34%
Other Income+,1,1,2,1,0,0,6,4,3,6,2
Interest,3,3,4,5,8,9,10,8,7,7,8
Depreciation,5,4,6,10,17,22,23,22,29,44,52
Profit before tax,2,4,6,7,11,3,3,13,22,33,36
Tax %,33%,31%,28%,28%,24%,16%,26%,26%,26%,25%,
Net Profit+,1,3,5,5,8,3,2,9,16,25,27
EPS in Rs,0.26,0.59,0.68,0.70,1.17,0.38,0.35,1.37,2.13,3.15,3.43
Dividend Payout %,0%,0%,0%,0%,13%,0%,0%,0%,0%,6%,
