Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,191","1,090",902,849,"1,160","1,670","1,533","1,723","2,340","2,550","2,874","2,905","2,844"
Expenses+,"1,032","1,085",913,775,"1,043","1,539","1,462","1,581","2,184","2,487","2,748","2,771","2,709"
Operating Profit,159,5,-11,74,117,130,70,142,155,64,125,134,135
OPM %,13%,0%,-1%,9%,10%,8%,5%,8%,7%,2%,4%,5%,5%
Other Income+,36,5,2,1,7,1,1,1,3,15,38,4,3
Interest,109,109,118,123,129,79,86,79,74,82,88,81,71
Depreciation,55,53,63,56,57,55,54,55,54,54,55,54,54
Profit before tax,32,-152,-191,-104,-62,-2,-68,8,30,-57,21,3,14
Tax %,34%,-32%,-5%,-10%,-10%,956%,11%,42%,14%,-12%,31%,"1,208%",
Net Profit+,21,-104,-182,-94,-56,-21,-76,5,26,-51,14,-28,-17
EPS in Rs,2.42,-11.76,-20.71,-10.64,-1.44,-0.53,-1.97,0.13,0.67,-1.31,0.37,-0.50,-0.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
