Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,494,829,786,862,"1,094","1,075","1,042","1,180","1,182"
Expenses+,457,771,730,796,"1,015","1,010","1,001","1,128","1,125"
Operating Profit,38,57,55,67,79,65,41,52,57
OPM %,8%,7%,7%,8%,7%,6%,4%,4%,5%
Other Income+,1,1,1,2,1,2,9,18,19
Interest,9,13,12,10,13,13,8,8,8
Depreciation,12,17,20,12,14,19,22,25,25
Profit before tax,17,28,24,47,53,36,20,39,43
Tax %,24%,19%,24%,27%,26%,25%,30%,24%,
Net Profit+,15,23,19,35,39,27,14,29,33
EPS in Rs,24.37,36.01,26.18,49.13,9.20,5.40,2.79,5.90,6.60
Dividend Payout %,0%,0%,0%,0%,10%,18%,35%,0%,
