Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,548","5,333","5,177","5,353","5,906","6,582","6,482","3,446","6,179","8,215",973,"1,947","2,076"
Expenses+,"4,118","4,905","4,790","5,048","5,481","6,013","5,966","3,507","5,474","7,015",957,"1,815","1,903"
Operating Profit,430,427,387,305,426,569,516,-60,705,"1,199",16,132,173
OPM %,9%,8%,7%,6%,7%,9%,8%,-2%,11%,15%,2%,7%,8%
Other Income+,87,95,93,82,137,120,285,186,6,31,"1,719","7,741","5,458"
Interest,197,200,190,178,184,233,303,276,228,257,8,65,73
Depreciation,196,162,159,157,170,196,340,314,240,235,59,146,151
Profit before tax,125,160,132,52,208,260,159,-465,243,737,"1,668","7,662","5,407"
Tax %,24%,27%,35%,42%,32%,33%,-27%,-35%,-9%,27%,1%,0%,
Net Profit+,110,120,86,30,142,175,202,-304,265,537,"1,643","7,636","5,552"
EPS in Rs,17.53,18.37,13.81,4.16,21.93,27.36,30.31,-44.60,39.09,79.42,245.91,"1,145.85",832.05
Dividend Payout %,11%,16%,22%,30%,14%,11%,0%,0%,8%,4%,4%,0%,
