Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,559.75,396.98,86.73,145.21,136.69,135.35,142.29,58.38,6.24,1.14,0.00,0.00,0.00
Expenses+,545.09,380.04,100.02,153.46,147.38,140.86,134.92,62.80,11.49,1.01,0.30,0.51,0.59
Operating Profit,14.66,16.94,-13.29,-8.25,-10.69,-5.51,7.37,-4.42,-5.25,0.13,-0.30,-0.51,-0.59
OPM %,2.62%,4.27%,-15.32%,-5.68%,-7.82%,-4.07%,5.18%,-7.57%,-84.13%,11.40%,,,
Other Income+,17.38,0.60,22.90,13.16,23.99,3.63,2.42,35.03,-44.41,-17.26,0.01,-0.66,-0.03
Interest,0.05,0.05,0.05,1.00,1.11,1.24,6.94,10.47,1.81,2.14,1.09,0.50,0.31
Depreciation,3.57,4.57,3.94,13.25,14.46,14.01,25.75,24.59,6.25,1.47,0.00,0.00,0.05
Profit before tax,28.42,12.92,5.62,-9.34,-2.27,-17.13,-22.90,-4.45,-57.72,-20.74,-1.38,-1.67,-0.98
Tax %,0.00%,-120.74%,-0.36%,52.89%,-111.89%,39.05%,0.39%,91.46%,16.81%,0.00%,0.00%,0.00%,
Net Profit+,28.43,25.02,5.63,-19.40,-0.45,-23.82,-23.29,-9.40,-69.17,-20.74,-1.38,-1.67,-0.96
EPS in Rs,1.12,0.95,0.23,-0.78,-0.08,-0.95,-0.93,-0.38,-2.77,-0.83,-0.06,-0.07,-0.05
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
