Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,099","1,107","1,258","1,279","1,308","1,376","1,477","1,509","1,962","2,368","1,894","2,020","2,208"
Expenses+,946,"1,042","1,100","1,060","1,096","1,073","1,199","1,293","1,700","2,060","1,780","1,920","2,039"
Operating Profit,153,65,159,218,212,303,279,216,262,308,114,100,169
OPM %,14%,6%,13%,17%,16%,22%,19%,14%,13%,13%,6%,5%,8%
Other Income+,6,13,20,26,44,62,44,43,116,25,54,21,6
Interest,22,24,29,27,33,31,29,27,13,4,2,2,3
Depreciation,54,42,56,51,55,55,62,61,64,76,76,81,82
Profit before tax,83,12,93,167,168,278,231,170,300,253,90,38,91
Tax %,32%,92%,39%,25%,29%,31%,9%,17%,18%,25%,16%,29%,
Net Profit+,57,1,56,125,119,192,211,141,246,191,76,27,64
EPS in Rs,3.81,-0.36,3.55,8.96,8.60,14.06,14.99,9.96,17.87,13.72,5.54,1.91,4.63
Dividend Payout %,26%,-167%,28%,22%,23%,14%,27%,20%,22%,15%,18%,42%,
