Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"20,137","21,595","22,574","21,755","25,210","30,358","29,919","27,741","33,145","36,455","44,870","50,995","54,683"
Expenses+,"15,974","17,467","17,781","17,326","20,364","25,160","24,809","22,803","27,886","29,991","36,106","41,440","43,953"
Operating Profit,"4,163","4,128","4,793","4,429","4,846","5,198","5,109","4,938","5,259","6,465","8,765","9,555","10,730"
OPM %,21%,19%,21%,20%,19%,17%,17%,18%,16%,18%,20%,19%,20%
Other Income+,674,228,"1,194","1,468","1,404","2,028","1,832","1,570","2,671","1,703","1,700","1,472","1,825"
Interest,1,6,1,1,1,4,3,7,9,40,60,389,777
Depreciation,181,267,307,307,315,266,246,259,270,286,365,414,457
Profit before tax,"4,655","4,083","5,679","5,588","5,933","6,956","6,692","6,241","7,652","7,842","10,040","10,224","11,320"
Tax %,31%,31%,28%,27%,29%,29%,22%,22%,19%,23%,23%,28%,
Net Profit+,"3,380","3,026","4,061","4,079","4,219","4,928","5,212","4,857","6,166","6,060","7,708","7,325","8,330"
EPS in Rs,116.82,104.56,140.35,140.98,145.80,170.29,180.11,167.85,213.08,214.17,276.10,262.29,298.28
Dividend Payout %,43%,48%,39%,39%,41%,35%,67%,83%,66%,65%,29%,80%,
