Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,492,772,"1,407","2,040","2,598","2,755","3,564","3,691"
Expenses+,459,717,"1,319","1,927","2,425","2,533","3,270","3,391"
Operating Profit,33,55,88,113,173,222,294,300
OPM %,7%,7%,6%,6%,7%,8%,8%,8%
Other Income+,1,1,3,4,5,7,15,15
Interest,8,11,19,20,36,57,81,81
Depreciation,7,11,19,25,37,55,80,81
Profit before tax,18,34,52,71,104,117,148,154
Tax %,35%,35%,29%,38%,32%,21%,26%,
Net Profit+,12,22,37,45,71,93,110,114
EPS in Rs,1.76,2.07,3.52,3.96,6.31,8.12,9.33,9.72
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
