Metric,Mar 2008,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,442,497,502,934,"1,134","1,051",854,"1,169","1,319","1,267","1,737","1,851","1,759"
Expenses+,219,292,298,499,577,552,506,526,621,655,703,749,840
Operating Profit,223,206,204,435,558,498,349,643,698,612,"1,034","1,102",919
OPM %,50%,41%,41%,47%,49%,47%,41%,55%,53%,48%,60%,60%,52%
Other Income+,4,2,1,13,22,30,36,4,8,23,6,9,7
Interest,0,0,0,0,0,8,9,8,9,10,11,13,13
Depreciation,6,9,10,13,14,29,34,36,37,40,42,46,48
Profit before tax,221,199,195,435,566,491,341,603,660,586,987,"1,052",865
Tax %,32%,30%,25%,26%,29%,29%,19%,18%,19%,25%,19%,23%,
Net Profit+,151,139,147,321,402,348,275,494,535,440,802,813,662
EPS in Rs,12.12,11.12,11.73,25.29,31.68,27.83,21.41,38.97,42.09,34.44,60.17,57.16,45.92
Dividend Payout %,26%,25%,23%,16%,16%,18%,33%,44%,50%,64%,78%,84%,
