Metric,Mar 2009,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,882","3,842","3,873","2,904","2,646","2,653","3,606","3,778",246,259,249
Expenses+,"3,319","3,844","3,943","2,872","2,417","2,278","3,094","3,507",298,310,310
Operating Profit,562,-3,-70,32,229,375,512,271,-52,-52,-61
OPM %,14%,-0%,-2%,1%,9%,14%,14%,7%,-21%,-20%,-24%
Other Income+,80,172,79,57,40,-148,14,-103,-273,"5,696","5,682"
Interest,121,283,443,357,344,276,502,450,27,28,26
Depreciation,112,136,146,108,113,118,112,103,25,32,31
Profit before tax,409,-250,-580,-375,-188,-167,-87,-385,-377,"5,585","5,564"
Tax %,7%,-3%,-0%,-3%,0%,-184%,-11%,-50%,1%,0%,
Net Profit+,379,-242,-578,-363,-188,140,-77,-194,-381,"5,565","5,571"
EPS in Rs,23.23,-13.90,-28.33,-17.15,-8.85,5.72,-3.18,-6.25,-12.27,179.12,179.31
Dividend Payout %,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
