Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,TTM
Sales+,"1,573","1,278","1,551","1,928","2,874","4,252","4,274"
Expenses+,"1,494","1,191","1,418","1,771","2,657","3,995","3,974"
Operating Profit,79,87,134,157,217,258,300
OPM %,5%,7%,9%,8%,8%,6%,7%
Other Income+,10,18,8,11,14,20,29
Interest,54,51,59,44,55,25,18
Depreciation,21,21,29,31,45,73,76
Profit before tax,14,33,54,93,131,180,236
Tax %,33%,20%,25%,36%,35%,25%,
Net Profit+,10,26,41,60,85,134,176
EPS in Rs,0.30,0.82,0.93,1.37,1.95,3.02,3.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,
