Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,27,39,11,10,3,1,2,90,110,107,104
Expenses+,16,37,8,9,3,2,3,78,89,78,76
Operating Profit,11,2,3,1,-0,-1,-1,12,22,29,28
OPM %,42%,5%,24%,9%,-12%,-65%,-56%,14%,20%,27%,27%
Other Income+,1,3,3,4,3,3,3,7,7,9,10
Interest,0,0,0,0,0,0,0,0,0,3,4
Depreciation,0,0,0,0,0,0,0,0,3,4,4
Profit before tax,12,5,5,5,3,2,2,19,25,30,30
Tax %,27%,13%,20%,29%,28%,23%,14%,25%,19%,27%,
Net Profit+,9,5,4,3,2,2,1,14,20,22,22
EPS in Rs,3.60,1.86,0.46,0.43,0.25,0.21,0.18,1.75,2.30,2.28,2.14
Dividend Payout %,0%,0%,0%,14%,0%,0%,0%,18%,11%,14%,
