Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,173,64,114,203,145,124,280,217,215,193
Expenses+,150,66,82,170,135,90,224,171,163,140
Operating Profit,23,-2,31,33,10,34,56,45,52,54
OPM %,13%,-4%,27%,16%,7%,28%,20%,21%,24%,28%
Other Income+,0,18,0,0,3,0,1,6,2,2
Interest,14,14,18,22,1,19,27,25,28,30
Depreciation,9,9,9,9,9,9,12,12,13,13
Profit before tax,1,-7,5,3,3,7,18,14,13,13
Tax %,309%,25%,31%,21%,22%,15%,25%,15%,15%,
Net Profit+,-2,-9,3,2,2,6,13,12,11,11
EPS in Rs,-0.01,-0.07,0.02,0.01,0.02,0.04,0.09,0.09,0.08,0.08
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
