Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,708,517,309,235,187,218,136,102,100,94,53,85,89
Expenses+,610,464,308,231,189,363,192,95,102,104,58,57,62
Operating Profit,98,53,1,3,-2,-145,-56,7,-2,-10,-5,28,27
OPM %,14%,10%,0%,1%,-1%,-67%,-41%,7%,-2%,-11%,-10%,33%,31%
Other Income+,7,11,5,10,8,36,376,16,6,14,-9,35,35
Interest,89,96,74,90,62,72,5,2,2,2,1,2,2
Depreciation,12,21,14,12,8,8,6,5,4,4,2,2,2
Profit before tax,5,-54,-82,-89,-65,-190,308,16,-2,-2,-18,59,59
Tax %,-92%,2%,-3%,-2%,-70%,0%,-0%,0%,0%,0%,22%,5%,
Net Profit+,9,-54,-80,-87,-19,-190,308,16,-2,-2,-22,56,56
EPS in Rs,5.02,-28.94,-42.40,-30.33,-6.76,-65.93,107.27,5.48,-0.79,-0.84,-1.43,3.61,3.61
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
