Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,359,426,484,652,932,968,"1,028","1,084"
Expenses+,313,354,392,541,793,854,891,935
Operating Profit,47,73,93,111,139,114,136,149
OPM %,13%,17%,19%,17%,15%,12%,13%,14%
Other Income+,2,5,4,-1,8,4,7,8
Interest,15,13,11,14,25,33,39,35
Depreciation,7,7,9,11,23,26,30,31
Profit before tax,28,57,77,84,99,59,75,91
Tax %,33%,31%,31%,31%,30%,30%,18%,
Net Profit+,19,39,53,58,70,41,62,74
EPS in Rs,5.50,5.91,8.00,8.52,10.23,4.35,6.84,8.24
Dividend Payout %,0%,15%,10%,12%,11%,25%,16%,
