Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,138,119,101,96,99,73,163,179,219,257,308,358
Expenses+,115,99,83,82,84,59,128,137,161,184,233,284
Operating Profit,23,20,18,13,15,14,35,42,59,73,75,74
OPM %,17%,16%,17%,14%,15%,20%,21%,24%,27%,28%,24%,21%
Other Income+,-2,1,-0,3,2,2,5,5,7,13,33,40
Interest,8,5,3,3,3,6,13,15,16,15,9,7
Depreciation,4,4,6,5,6,7,14,15,17,17,21,26
Profit before tax,9,11,8,8,8,2,12,17,34,54,78,81
Tax %,16%,46%,24%,24%,22%,29%,65%,25%,23%,22%,22%,
Net Profit+,8,6,6,6,6,2,4,13,26,42,61,61
EPS in Rs,7.30,5.52,4.92,4.79,4.56,1.31,3.32,9.78,19.29,29.24,40.72,40.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
