Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,338,444,496,443,386,344,377,312,291,270,223,168,186
Expenses+,333,441,493,443,385,340,373,311,289,267,222,168,185
Operating Profit,5,3,3,-0,1,4,3,1,2,3,1,0,0
OPM %,1%,1%,1%,-0%,0%,1%,1%,0%,1%,1%,0%,0%,0%
Other Income+,-0,0,0,2,1,0,1,1,1,0,1,1,0
Interest,1,1,1,1,1,1,1,1,1,1,1,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,3,2,2,1,1,2,3,1,2,2,1,1,1
Tax %,3%,6%,9%,25%,15%,7%,7%,20%,10%,6%,7%,4%,
Net Profit+,3,2,2,0,1,2,3,0,2,2,1,1,1
EPS in Rs,0.15,0.08,0.10,0.03,0.04,0.11,0.13,0.02,0.09,0.11,0.03,0.04,0.04
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
