Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,127,151,905,"1,211","1,746","1,873","1,814","1,676"
Expenses+,126,154,854,"1,045","1,432","1,648","1,614","1,485"
Operating Profit,1,-2,51,166,314,226,200,191
OPM %,0%,-1%,6%,14%,18%,12%,11%,11%
Other Income+,1,4,7,2,3,3,5,6
Interest,1,2,5,15,39,62,66,64
Depreciation,0,0,3,12,24,33,43,43
Profit before tax,0,0,51,141,253,134,96,90
Tax %,575%,100%,27%,26%,24%,21%,27%,
Net Profit+,-0,0,37,105,192,106,70,69
EPS in Rs,-0.65,0.03,16.83,44.31,81.27,44.94,29.56,28.97
Dividend Payout %,0%,798%,12%,5%,4%,7%,10%,
