Metric,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,605","1,733","1,816","1,699","1,089","1,905","2,233","2,092","2,222","2,402"
Expenses+,"1,415","1,488","1,577","1,532","1,035","1,572","1,864","1,806","1,946","2,096"
Operating Profit,189,245,240,167,54,333,368,286,276,306
OPM %,12%,14%,13%,10%,5%,17%,16%,14%,12%,13%
Other Income+,15,20,23,34,41,34,40,36,75,79
Interest,31,34,48,43,30,18,20,20,24,29
Depreciation,43,61,62,73,61,59,58,55,60,73
Profit before tax,130,170,152,85,3,291,331,247,267,283
Tax %,35%,35%,35%,19%,-3%,26%,24%,25%,26%,
Net Profit+,85,111,99,69,4,216,251,185,197,209
EPS in Rs,18.10,23.64,21.14,14.77,0.76,46.14,53.55,40.72,43.45,46.01
Dividend Payout %,12%,18%,21%,58%,602%,20%,21%,27%,28%,
