Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,894,"1,097","1,157","1,220","1,589","1,456","1,524","1,090","2,176","2,027","2,010","3,547","3,873"
Expenses+,761,931,966,"1,034","1,363","1,307","1,419","1,008","2,015","1,943","1,892","3,418","3,744"
Operating Profit,133,165,191,187,226,149,105,82,160,84,118,128,128
OPM %,15%,15%,17%,15%,14%,10%,7%,8%,7%,4%,6%,4%,3%
Other Income+,4,3,4,21,14,13,19,7,19,12,35,8,7
Interest,32,38,41,36,58,27,43,42,42,53,47,37,35
Depreciation,50,60,66,86,121,104,88,78,45,37,41,53,51
Profit before tax,55,71,88,85,61,31,-7,-31,92,5,65,46,49
Tax %,28%,28%,28%,15%,24%,32%,-92%,-40%,27%,90%,31%,27%,
Net Profit+,39,51,63,73,46,21,-1,-19,68,1,45,33,37
EPS in Rs,0.29,0.38,0.46,0.50,0.32,0.15,-0.00,-0.13,0.47,0.00,0.31,0.23,0.26
Dividend Payout %,14%,14%,12%,11%,8%,11%,0%,0%,0%,0%,0%,0%,
