Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,553,643,966,"1,665","2,306","2,590","2,839","3,041"
Expenses+,511,499,736,"1,378","1,910","2,084","2,292","2,466"
Operating Profit,42,144,230,287,396,505,548,575
OPM %,8%,22%,24%,17%,17%,20%,19%,19%
Other Income+,7,-102,-3,-21,58,79,94,105
Interest,6,9,7,6,31,49,22,14
Depreciation,17,19,26,33,60,76,80,86
Profit before tax,26,14,195,226,363,459,539,581
Tax %,45%,191%,23%,28%,27%,27%,25%,
Net Profit+,14,-12,149,163,266,337,407,446
EPS in Rs,89.98,-40.20,951.96,937.73,11.99,15.14,16.95,18.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,12%,
