Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"14,730","17,903","1,128","1,692","2,053","1,415","2,259","2,123"
Expenses+,"13,726","16,393",988,"1,499","1,928","1,384","2,163","2,023"
Operating Profit,"1,004","1,510",140,193,124,31,97,100
OPM %,7%,8%,12%,11%,6%,2%,4%,5%
Other Income+,170,148,-2,-14,-7,32,219,225
Interest,88,372,47,46,60,57,104,104
Depreciation,377,447,80,131,144,103,173,191
Profit before tax,709,839,11,3,-86,-97,39,29
Tax %,23%,25%,529%,724%,25%,23%,127%,
Net Profit+,547,629,-48,-17,-108,-120,-11,-23
EPS in Rs,,,,,,,-4.83,-10.31
Dividend Payout %,0%,0%,0%,0%,0%,-9%,-98%,
