Metric,Mar 2015,Dec 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,158,158,190,186,299,548,552,690,"1,059","1,410","1,501","1,274","1,331"
Expenses+,156,156,187,183,293,543,545,679,"1,036","1,382","1,472","1,258","1,311"
Operating Profit,2,2,2,3,6,5,7,11,22,29,29,16,19
OPM %,1%,1%,1%,1%,2%,1%,1%,2%,2%,2%,2%,1%,1%
Other Income+,0,0,0,1,0,2,4,5,5,8,13,10,9
Interest,1,1,1,1,2,2,4,3,6,11,13,16,16
Depreciation,0,0,0,0,0,0,0,0,0,1,0,0,1
Profit before tax,1,1,1,2,4,5,6,13,21,25,28,10,12
Tax %,36%,36%,35%,34%,33%,28%,26%,26%,25%,25%,26%,27%,
Net Profit+,1,1,1,1,3,4,5,10,16,19,21,7,9
EPS in Rs,0.47,0.47,0.69,0.90,2.17,0.70,0.87,1.92,2.73,3.28,3.67,1.23,1.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
