Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"8,906","9,733","9,008","7,553","7,541","10,095","12,206","12,719","16,069","27,773","17,966","16,646","19,477"
Expenses+,"8,229","8,996","8,354","6,795","6,730","8,894","10,281","10,249","13,804","25,951","15,919","14,145","16,933"
Operating Profit,677,737,654,759,811,"1,200","1,925","2,470","2,265","1,822","2,047","2,501","2,544"
OPM %,8%,8%,7%,10%,11%,12%,16%,19%,14%,7%,11%,15%,13%
Other Income+,103,103,32,133,172,-2,192,470,374,222,326,329,348
Interest,209,164,267,255,157,247,504,291,109,320,173,48,10
Depreciation,282,216,111,92,85,119,287,289,300,308,313,330,336
Profit before tax,289,459,308,544,740,832,"1,327","2,360","2,231","1,416","1,887","2,452","2,546"
Tax %,19%,39%,52%,34%,33%,30%,8%,26%,30%,27%,32%,33%,
Net Profit+,235,280,147,359,495,585,"1,226","1,748","1,566","1,034","1,276","1,649","1,862"
EPS in Rs,5.87,7.08,5.31,8.70,11.99,14.18,29.46,39.76,37.62,24.85,31.84,41.17,46.48
Dividend Payout %,32%,27%,36%,22%,16%,14%,14%,19%,20%,30%,24%,24%,
