Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,895,904,"1,192","1,642","2,070","2,292","2,452","2,904","3,606","4,062","4,429","4,753","4,381"
Expenses+,763,778,"1,019","1,378","1,620","1,754","1,829","2,205","2,804","3,145","3,380","3,144","2,851"
Operating Profit,132,127,172,264,449,538,623,699,802,918,"1,049","1,610","1,530"
OPM %,15%,14%,14%,16%,22%,23%,25%,24%,22%,23%,24%,34%,35%
Other Income+,18,14,46,30,55,75,66,144,78,98,162,172,179
Interest,18,14,57,73,82,90,111,133,151,153,106,208,219
Depreciation,59,55,71,116,194,230,254,190,165,181,157,314,300
Profit before tax,72,71,90,106,228,292,324,520,563,681,948,"1,260","1,190"
Tax %,9%,-0%,-24%,7%,-0%,9%,21%,26%,35%,36%,21%,20%,
Net Profit+,60,70,112,99,229,265,256,383,366,439,752,"1,002",959
EPS in Rs,2.15,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,16.29,27.64,35.62,33.88
Dividend Payout %,5%,4%,5%,6%,2%,2%,3%,2%,2%,2%,1%,1%,
