Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"8,578","9,098","12,204","16,240","15,968","17,173","22,728","30,325","36,502","38,335"
Interest,"6,515","7,126","8,743","10,228","8,585","7,465","10,091","13,870","17,208","18,479"
Expenses+,"1,432","1,789","4,702","9,760","8,733","12,323","13,338","17,899","23,571","25,888"
Financing Profit,631,184,"-1,241","-3,748","-1,350","-2,615",-701,"-1,444","-4,277","-6,032"
Financing Margin %,7%,2%,-10%,-23%,-8%,-15%,-3%,-5%,-12%,-16%
Other Income+,"1,019","1,120",824,"1,722","2,211","3,173","4,467","5,932","6,977","7,794"
Depreciation,136,168,"2,820",320,343,382,435,631,836,0
Profit before tax,"1,514","1,135","-3,237","-2,346",519,175,"3,331","3,857","1,864","1,761"
Tax %,30%,16%,-41%,21%,7%,24%,25%,24%,20%,
Net Profit+,"1,019",880,"-1,908","-2,843",483,132,"2,485","2,942","1,490","1,437"
EPS in Rs,3.00,2.58,-3.99,-5.91,0.85,0.21,3.75,4.16,2.04,1.95
Dividend Payout %,25%,29%,0%,0%,0%,0%,0%,0%,12%,
