Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales+,140,171,140,185,108,126,84,173,228
Expenses+,117,149,125,159,102,115,75,148,187
Operating Profit,23,22,15,25,6,11,9,24,40
OPM %,16%,13%,11%,14%,5%,9%,11%,14%,18%
Other Income+,8,13,10,11,11,11,9,9,16
Interest,0,0,1,1,1,1,0,0,1
Depreciation,6,5,5,5,6,7,8,8,7
Profit before tax,24,29,19,30,10,14,10,25,48
Tax %,26%,16%,16%,24%,8%,21%,14%,22%,20%
Net Profit+,18,25,16,23,9,11,9,20,39
EPS in Rs,31.00,42.85,28.21,40.17,16.45,19.55,15.05,33.84,66.83
Dividend Payout %,16%,12%,18%,17%,30%,26%,33%,15%,7%
