Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales+,"1,140",517,324,309,269,259,289,294,143,150,143,154
Expenses+,963,698,295,254,232,221,263,202,58,71,110,129
Operating Profit,177,-182,29,55,37,38,26,93,85,79,33,25
OPM %,15%,-35%,9%,18%,14%,15%,9%,32%,59%,53%,23%,16%
Other Income+,1,-194,-4,-220,-17,411,76,-65,15,579,102,"-2,203"
Interest,251,366,404,343,295,316,276,336,232,162,212,528
Depreciation,60,84,101,92,108,102,94,143,73,72,79,113
Profit before tax,-133,-825,-480,-601,-383,31,-268,-451,-205,424,-156,"-2,818"
Tax %,-4%,3%,-1%,1%,0%,1%,0%,2%,0%,0%,0%,0%
Net Profit+,-127,-846,-474,-604,-383,31,-268,-462,-205,424,-157,"-2,819"
EPS in Rs,-20.54,-126.11,-37.21,-38.65,-24.50,1.36,-10.98,-17.91,-7.83,16.16,-5.95,-106.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
