Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,181,222,281,297,414,531,787,904,"1,598","2,015","2,125","2,399","2,285"
Expenses+,168,206,260,271,383,494,741,832,"1,492","1,879","1,952","2,197","2,107"
Operating Profit,14,16,21,26,31,37,46,71,106,136,173,202,178
OPM %,8%,7%,8%,9%,7%,7%,6%,8%,7%,7%,8%,8%,8%
Other Income+,1,1,1,1,1,1,3,2,4,9,5,11,11
Interest,4,4,7,7,9,9,9,10,12,12,21,30,31
Depreciation,4,4,5,6,8,8,9,14,20,23,30,48,51
Profit before tax,6,8,10,14,15,20,31,49,78,110,127,135,107
Tax %,21%,30%,31%,37%,30%,34%,18%,17%,18%,16%,14%,14%,
Net Profit+,5,6,7,9,10,13,26,41,64,92,109,116,90
EPS in Rs,9.25,10.67,12.46,8.82,10.02,13.11,24.91,39.51,48.22,61.68,73.02,77.34,59.98
Dividend Payout %,15%,14%,17%,17%,15%,14%,6%,5%,4%,4%,4%,4%,
