Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,793","6,839","7,150","8,697","10,392","11,708","12,846","13,201"
Expenses+,"5,838","5,741","6,033","7,666","8,945","10,046","11,225","11,716"
Operating Profit,955,"1,099","1,117","1,031","1,447","1,662","1,622","1,484"
OPM %,14%,16%,16%,12%,14%,14%,13%,11%
Other Income+,43,55,86,71,29,106,222,340
Interest,7,12,11,15,30,34,44,41
Depreciation,261,301,319,396,450,484,526,568
Profit before tax,730,841,873,691,997,"1,250","1,273","1,215"
Tax %,34%,21%,26%,26%,27%,25%,26%,
Net Profit+,483,661,647,513,731,934,945,901
EPS in Rs,28.29,38.69,37.87,30.01,42.79,51.05,51.61,49.24
Dividend Payout %,25%,28%,29%,15%,14%,19%,20%,
