Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,451,519,584,700,829,976,"1,092","1,009","1,395","1,691","1,908","2,218","2,310"
Expenses+,413,443,499,595,713,864,936,887,"1,161","1,394","1,581","1,835","1,906"
Operating Profit,38,76,85,105,116,112,157,122,234,297,327,384,404
OPM %,9%,15%,15%,15%,14%,11%,14%,12%,17%,18%,17%,17%,17%
Other Income+,3,0,-2,10,25,10,10,-72,110,15,24,39,34
Interest,32,34,38,23,42,70,138,119,98,104,109,155,166
Depreciation,36,39,44,57,71,85,148,159,158,163,174,211,222
Profit before tax,-27,3,0,35,27,-33,-119,-229,88,45,68,57,50
Tax %,20%,-56%,-730%,34%,38%,-7%,5%,-3%,56%,61%,39%,14%,
Net Profit+,-32,5,2,23,17,-31,-125,-221,39,18,41,49,41
EPS in Rs,-5.21,0.12,-0.17,2.59,2.36,-2.82,-12.03,-15.43,3.87,2.11,3.46,3.19,2.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
