Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,28,18,12,12,13,8,15,18,7,4,20,190,217
Expenses+,27,25,20,33,25,21,22,14,16,21,42,149,168
Operating Profit,2,-7,-9,-21,-12,-13,-7,4,-9,-17,-23,41,49
OPM %,6%,-37%,-76%,-171%,-87%,-158%,-49%,21%,-142%,-416%,-117%,22%,22%
Other Income+,3,2,2,25,1,-4,18,1,-3,1,1,1,2
Interest,3,3,6,4,2,2,6,1,3,1,3,7,8
Depreciation,4,4,3,3,2,2,2,2,1,2,2,3,3
Profit before tax,-2,-13,-16,-2,-15,-22,3,2,-17,-20,-27,32,39
Tax %,-16%,-2%,-2%,115%,-4%,-1%,-1%,2%,2%,2%,-0%,-54%,
Net Profit+,-2,-13,-16,-4,-15,-21,3,2,-17,-20,-27,50,54
EPS in Rs,-1.69,-10.11,-12.74,-3.24,-11.78,-17.06,2.74,1.62,-13.76,-12.82,-15.76,29.98,32.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
