Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Sales+,446,372,306,259,316,258,185,251,121,30,46,80
Expenses+,389,344,297,264,303,261,200,265,151,45,59,94
Operating Profit,57,28,9,-5,13,-3,-15,-14,-30,-16,-13,-15
OPM %,13%,7%,3%,-2%,4%,-1%,-8%,-6%,-25%,-53%,-28%,-19%
Other Income+,-52,4,-6,6,3,-24,10,3,0,-8,2,8
Interest,4,3,3,3,3,1,1,2,2,3,2,3
Depreciation,13,12,12,8,7,6,5,4,2,2,1,1
Profit before tax,-11,17,-12,-10,6,-34,-12,-17,-34,-28,-14,-11
Tax %,150%,36%,-32%,4%,-11%,5%,17%,-3%,3%,2%,-1%,3%
Net Profit+,-27,11,-8,-10,6,-35,-14,-16,-35,-29,-14,-11
EPS in Rs,-8.74,3.61,-2.64,-3.26,2.10,-11.63,-4.69,-5.37,-11.61,-9.44,-4.59,-3.63
Dividend Payout %,-29%,42%,-38%,-15%,48%,-4%,-13%,-9%,0%,0%,0%,0%
